Country,Median
"Social Sciences Teachers, Postsecondary",84600
Budget Analysts,84940
"Agricultural Sciences Teachers, Postsecondary",85260
"Geography Teachers, Postsecondary",85600
Miscellaneous Life Scientists,86950
Transportation Inspectors,87290
"Environmental Science Teachers, Postsecondary",88410
Postmasters and Mail Superintendents,88670
Hydrologists,88770
Physical Scientists,89350
Therapists,90400
Detectives and Criminal Investigators,91100
Architecture and Engineering Occupations,91420
"Geoscientists, Except Hydrologists and Geographers",92580
"Architects, Except Landscape and Naval",93310
"Political Science Teachers, Postsecondary",93810
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",94580
Genetic Counselors,95770
Clinical and Counseling Psychologists,96100
"Computer Science Teachers, Postsecondary",96430
"Business Teachers, Postsecondary",97130
Project Management Specialists,98580
Industrial Engineers,99380
Mechanical Engineers,99510
Physical Therapists,99710
Medical Scientists,99980
"Mining and Geological Engineers, Including Mining Safety Engineers",100640
"Medical Scientists, Except Epidemiologists",100890
General and Operations Managers,101280
"Forestry and Conservation Science Teachers, Postsecondary",101650
Sociologists,101770
Elevator and Escalator Installers and Repairers,102420
Engineers,102660
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",103690
Statisticians,104110
Power Distributors and Dispatchers,104750
Miscellaneous Computer Occupations,104920
Database and Network Administrators and Architects,105720
Art Directors,106500
Electrical Engineers,106950
Chemical Engineers,112100
Mathematicians,116440
Industrial Production Managers,116970
Fundraising Managers,119200
"Judges, Magistrates, and Other Judicial Workers",120140
"Software and Web Developers, Programmers, and Testers",127120
Nurse Midwives,129650
Public Relations and Fundraising Managers,130480
Advertising and Promotions Managers,131870
Medical Dosimetrists,132880
Database Architects,134700
Petroleum Engineers,135690
Human Resources Managers,136350
Air Traffic Controllers,137380
"Lawyers, Judges, and Related Workers",140320
Lawyers and Judicial Law Clerks,142440
Industrial-Organizational Psychologists,147420
Physicists,155680
Natural Sciences Managers,157740
Computer and Information Systems Managers,169510
